nohup: ignoring input
Running seek with root {0,0,1,1,} and ceiling 1000000000
Time: Tue Apr 21 13:25:33 2015
10400000000th iteration: 2510316672 35516808 2246893809 1614697161
10500000000th iteration: 2852792964 1973498952 2605312089 8519625
10600000000th iteration: 1555027816 1612143856 1151617369 573049
10700000000th iteration: 169424728 1639411120 752289721 1702245601
10800000000th iteration: 1993548352 2879488024 6921241 2457820633
10900000000th iteration: 2198362132 1092397684 191342353 2321081281
11000000000th iteration: 1792035112 1732720420 801458617 174245761
11100000000th iteration: 1848370524 1011067116 124566081 1985789889
11200000000th iteration: 1240232292 62248872 1167248385 672184161
11300000000th iteration: 775881016 3662390356 1065631009 3665450209
11400000000th iteration: 122937396 2841144324 2570018649 1568763441
11500000000th iteration: 3197635324 462984400 3258499057 1227138049
11600000000th iteration: 994385944 1167405568 801205585 4269313
11700000000th iteration: 423323148 2318729916 760359585 2334355521
11800000000th iteration: 1058339340 1014760224 748240689 1720017
11900000000th iteration: 69241060 1014692296 506327953 954177121
12000000000th iteration: 568536904 408268240 234577 556264609
12100000000th iteration: 924992896 3204114028 683160097 3198019129
12200000000th iteration: 27325876 1741189048 1504742017 1105331209
12300000000th iteration: 1469898688 739997452 1370245729 96095881
12400000000th iteration: 1976603764 2022309688 1 2664634897
12500000000th iteration: 25237360 1905566104 1233167809 1712612857
12600000000th iteration: 1238609224 3678724 1760109721 1413973321
12700000000th iteration: 222905988 1754627016 726458985 1801996281
12800000000th iteration: 1012929544 115935268 1815331441 1961522497
12900000000th iteration: 2659164948 357244536 1030472289 2601318177
13000000000th iteration: 2429458876 8682736 1960366609 2844806089
13100000000th iteration: 1137048412 2691997264 2607928825 299874529
13200000000th iteration: 383695756 1072558588 2739295705 2797003321
13300000000th iteration: 2747262604 1149226684 313055617 2664667825
13400000000th iteration: 2770396636 254029744 1282265569 2727591241
13500000000th iteration: 767841828 39468372 416223537 731949993
13600000000th iteration: 388038828 2828219340 1115670273 2874757449
13700000000th iteration: 1584709564 42772912 2149815481 2517071593
13800000000th iteration: 704248644 1174585332 1291832313 59710161
13900000000th iteration: 1025948092 1466314108 33849169 1657046281
14000000000th iteration: 1380832104 3749988 1237843545 1747501473
14100000000th iteration: 1864978252 2584105132 43930993 2919840793
14200000000th iteration: 1155769368 1629046704 1292768913 2804025
14300000000th iteration: 379556640 2525977512 2568445257 947199681
14400000000th iteration: 2568538732 140351008 2465508817 1376337313
14500000000th iteration: 1778212 345078484 396400249 495504385
14600000000th iteration: 132485812 813560836 1699075849 1602759553
14700000000th iteration: 264893944 2215217812 928385665 2225735809
14800000000th iteration: 3189562036 592610884 1028872633 3196903297
14900000000th iteration: 1651160508 1509884496 1113222489 11647257
15000000000th iteration: 98590336 1521685228 2395230505 2676716761
15100000000th iteration: 639386608 454154236 4225 525046201
15200000000th iteration: 26654316 1780877772 1518849105 1135039497
15300000000th iteration: 2259667968 2285179788 1243599465 125238369
15400000000th iteration: 1581670792 2479367440 36751729 2100857809
15500000000th iteration: 126144 640714284 461768385 630152217
15600000000th iteration: 15239172 826536 15901833 8619009
15700000000th iteration: 504451696 595557244 2295721 727317049
15800000000th iteration: 1179498256 5994040 869246953 1264853281
15900000000th iteration: 1014745656 48179040 1122276801 620633073
16000000000th iteration: 57978364 6051952 25115185 55845769
16100000000th iteration: 1610076504 1173114048 32372241 1866443457
16200000000th iteration: 3001557412 3012185800 1100922649 459657169
16300000000th iteration: 27693700 209216584 417369457 389150089
16400000000th iteration: 1198843008 173630220 2287016073 2437080009
16500000000th iteration: 1894926204 696670608 1864260153 281626425
16600000000th iteration: 2462770440 1895301648 2684250993 113409
16700000000th iteration: 2757362092 1664210368 2423429929 68397361
16800000000th iteration: 2146483824 2654277144 1895407785 177
16900000000th iteration: 1212180412 1349405392 873343945 17828641
17000000000th iteration: 1064500 1504850584 1620276889 2078762857
17100000000th iteration: 69151728 1179016728 649978977 1220099097
17200000000th iteration: 658745736 36345060 345670881 606312753
17300000000th iteration: 2448912856 1600411252 2210797465 28743937
17400000000th iteration: 2693896684 40049344 1717996777 2292151825
17500000000th iteration: 157637248 239984332 2499841 199839529
17600000000th iteration: 2904048 1128600936 1529697801 1599817545
17700000000th iteration: 2401833088 746130904 466296265 2393349433
17800000000th iteration: 512884 2828251540 1989160657 2538863089
17900000000th iteration: 1411337224 727914340 1338772993 87185833
18000000000th iteration: 900527604 40950420 1326187089 1511232657
18100000000th iteration: 1268805576 2459913552 152084817 2334813345
18200000000th iteration: 1642213716 1673340696 905134065 92331393
18300000000th iteration: 2736377328 161787624 1412532345 2530645113
18400000000th iteration: 53855548 859007728 441000097 814019257
18500000000th iteration: 52287100 229470268 229594273 62674969
18600000000th iteration: 4016164 733013476 973788097 1064763313
18700000000th iteration: 1530106644 2618777976 2321750577 81507153
18800000000th iteration: 707523076 8114152 867612169 1055290153
18900000000th iteration: 1947472216 1068160 2037068617 1449009097
19000000000th iteration: 983944720 916077916 4768393 675456241
19100000000th iteration: 919264 1249293772 1721218729 1335519865
19200000000th iteration: 882514924 223084096 882505849 218182441
19300000000th iteration: 955763832 172116 984750345 705926097
19400000000th iteration: 1176617556 34263012 1343434905 807296337
19500000000th iteration: 998195812 667189672 826746601 7932505
19600000000th iteration: 84527872 2264160844 1473734305 2548277809
19700000000th iteration: 611470924 1899269164 1910263201 355307401
19800000000th iteration: 1286949448 401956 1774205881 1384347385
19900000000th iteration: 1431700396 1088908 1949364145 1997601481
20000000000th iteration: 1335154560 314504556 1334780937 353452857
20100000000th iteration: 657769512 604820964 346146825 35835729
20200000000th iteration: 2335188736 71278600 1576183657 2640116017
20300000000th iteration: 22603176 399628704 383807889 212331321
20400000000th iteration: 164708940 1179066336 2225561097 2379042417
20500000000th iteration: 1518546340 377188 1270133233 1071517249
20600000000th iteration: 13217404 1621418044 2376545761 2197952281
20700000000th iteration: 2435185632 1135172076 2445300849 226921593
20800000000th iteration: 2701600564 484747096 2691482257 888797233
20900000000th iteration: 950182548 1142521188 752026209 11573145
21000000000th iteration: 1436464944 1316046780 74488329 764284017
21100000000th iteration: 357836308 1212193432 1209071689 251385121
21200000000th iteration: 2997013548 2708482716 127906065 1659190401
21300000000th iteration: 1386067348 1712463844 1213963633 1444585
21400000000th iteration: 1887445624 1352979124 837601 1839701641
21500000000th iteration: 535824036 56710920 967467537 1007240697
21600000000th iteration: 84841032 1475903268 2269856097 2552445873
21700000000th iteration: 208255740 662125776 127706121 665389833
21800000000th iteration: 844396972 2036239756 2081006473 255772849
21900000000th iteration: 813900112 2223718408 2244042937 344343913
22000000000th iteration: 1464334452 16789272 1162153185 1758954201
22100000000th iteration: 84686820 1927805448 2140243401 1202133801
22200000000th iteration: 2364287224 2016785104 3752881 1646638681
22300000000th iteration: 2785627120 393334588 2735341201 1053230161
22400000000th iteration: 3422811508 3460091704 1327489633 480546865
22500000000th iteration: 1661612704 1938909304 29547361 1233805921
22600000000th iteration: 282810556 16 241619113 341071585
22700000000th iteration: 2923717444 163358440 1569868849 2847703897
22800000000th iteration: 752896116 2096600148 2123969961 336674745
22900000000th iteration: 1013733772 946790464 62521585 519375649
23000000000th iteration: 865305964 490728640 2659610593 2676605593
23100000000th iteration: 1036270824 1852256928 1669481625 74827713
23200000000th iteration: 1929675916 169050880 890301337 1835347057
23300000000th iteration: 949347328 371868808 969310657 132866137
23400000000th iteration: 49697208 533169396 994094625 908658801
23500000000th iteration: 2773858308 2865004776 1203277929 322859337
23600000000th iteration: 1159269024 2542408908 267613545 2644014513
23700000000th iteration: 3065293360 3002745448 287807569 1401320113
23800000000th iteration: 2761754356 1619445268 141978721 2969143825
23900000000th iteration: 1718087080 2307051556 58561 1742646073
24000000000th iteration: 1783312 1124513992 1361712985 955820521
24100000000th iteration: 10080 1099307448 1403731569 1018043793
24200000000th iteration: 1567153312 2162890744 808705 1686909169
24300000000th iteration: 130168552 113776 91027177 112644985
24400000000th iteration: 1668272256 989128200 83893401 1806574113
24500000000th iteration: 2407232988 13877676 2625518889 1790918697
24600000000th iteration: 1278640720 66232 900297121 1094646937
24700000000th iteration: 72999196 1055633296 1118931025 566724553
24800000000th iteration: 1037810452 1063547416 133435849 426339433
24900000000th iteration: 1621126888 1548811312 758490241 137612209
25000000000th iteration: 624179124 758820312 25929 538594905
25100000000th iteration: 773006896 1854063004 1842833569 220421521
25200000000th iteration: 1939828476 1429720764 2018222913 2924697
25300000000th iteration: 509098168 984455248 60414625 935444569
25400000000th iteration: 35500552 140900176 329495257 317858425
25500000000th iteration: 15076344 2743799700 1872284937 2236633689
25600000000th iteration: 813877416 134724 1063547289 782598681
25700000000th iteration: 548160412 60328492 568850881 244787425
25800000000th iteration: 1021154544 786462744 1113871545 28737
25900000000th iteration: 748618656 1803688524 1842461889 225982041
26000000000th iteration: 1226140588 1239969676 447699721 191181745
26100000000th iteration: 2290449712 19804504 2754745129 1849819825
26200000000th iteration: 42991896 72121620 1953921 63419433
26300000000th iteration: 327326752 539588140 12975481 476871217
26400000000th iteration: 3048623344 1373369704 293337241 2962478521
26500000000th iteration: 980309920 2219187448 2128647169 219847153
26600000000th iteration: 2235952704 1238700 1914814257 2709365169
26700000000th iteration: 1672365544 1116064 1300625281 1853669401
26800000000th iteration: 573058404 404498952 14209113 659061081
26900000000th iteration: 6007516 336768784 392823937 249890113
27000000000th iteration: 1905680044 890644480 1950599593 182926393
27100000000th iteration: 28 2037731632 1892319337 1442715433
27200000000th iteration: 1524859152 2812654536 2712618537 147992985
27300000000th iteration: 995660596 1423841284 1239438577 1207993
27400000000th iteration: 2128937832 1502870148 2099073 2005275177
27500000000th iteration: 2465276964 2705250984 6050601 1880007441
27600000000th iteration: 1804883500 529491724 1801251889 377393257
27700000000th iteration: 859318092 640068288 4520697 935238993
27800000000th iteration: 288990156 1502553600 3131260281 3251836593
27900000000th iteration: 2238413572 2187117316 207088369 1027531393
28000000000th iteration: 1228864300 2747878348 2640509689 264813073
28100000000th iteration: 2002564828 935442412 170922337 1914509953
28200000000th iteration: 402759136 3287080 594132433 501956521
28300000000th iteration: 9882072 183310704 196641153 106118121
28400000000th iteration: 2351618008 5908 2697866545 1898003329
28500000000th iteration: 1221974976 1686971208 26909265 1902436521
28600000000th iteration: 3143154472 3162363844 1032492865 571994449
28700000000th iteration: 40873744 1644056008 2295388873 2584337785
28800000000th iteration: 507820744 732864388 1656985 626670793
28900000000th iteration: 1768048836 2528066100 2200546497 2099577
29000000000th iteration: 2685890200 1234662832 2643812641 250616137
29100000000th iteration: 11244 159405132 120981513 170738961
29200000000th iteration: 2854122376 1500099556 2735517913 167601625
29300000000th iteration: 2587220572 1900635856 1981644649 575473
29400000000th iteration: 1038613468 1073611036 61006801 571895065
29500000000th iteration: 1242734536 431661904 3209048017 3139288993
29600000000th iteration: 60457972 1099678840 596494201 1082780377
29700000000th iteration: 70139908 2613199720 2291347921 1559153881
29800000000th iteration: 729238684 340281808 2076223297 2080282561
29900000000th iteration: 79516 126402652 88523545 110392177
30000000000th iteration: 164188588 105263644 183982753 6521905
30100000000th iteration: 2948534904 2069041872 2356720521 7912353
30200000000th iteration: 933201628 2244688 648046369 852290425
30300000000th iteration: 3198065236 3225758296 447415033 1240518265
30400000000th iteration: 1661248492 722272 1361887753 1938963553
30500000000th iteration: 1187185560 2114520948 2205524481 118048641
30600000000th iteration: 1519737960 580341636 1500125553 212245281
30700000000th iteration: 616694248 925648624 3062697673 3054595945
30800000000th iteration: 1671583672 2525400436 2093729617 23625985
30900000000th iteration: 2004416568 1865868768 2568344529 119025
31000000000th iteration: 977884228 685023496 886639897 911329
31100000000th iteration: 1703578432 5098636 1556640697 1178563825
31200000000th iteration: 194880072 343759620 20983641 373081377
31300000000th iteration: 2112277612 843978688 285806041 2161039009
31400000000th iteration: 1033833288 523196880 975081873 67605969
31500000000th iteration: 1223034444 1245339900 169149537 481079649
31600000000th iteration: 1254463840 2747461096 258846673 2691792121
31700000000th iteration: 538444288 780717976 632935681 3333025
31800000000th iteration: 1631511288 1312496916 2065209 1880111337
31900000000th iteration: 1416659868 745493340 105947793 1508144409
32000000000th iteration: 791955156 41429496 460832673 847632705
32100000000th iteration: 715101444 1075669224 3544867617 3557089545
32200000000th iteration: 2047332916 17427844 1867670593 1367238697
32300000000th iteration: 1586035276 2268908896 2608205233 60530065
32400000000th iteration: 12747868 859808620 548486161 728781121
32500000000th iteration: 255752872 4 180203353 218331121
32600000000th iteration: 142253068 2022880876 1000037281 1901873545
32700000000th iteration: 1612072296 2305060272 4369953 1897108929
32800000000th iteration: 1250627116 980465500 906489193 361
32900000000th iteration: 2003481804 912829344 210380601 2079063561
33000000000th iteration: 1811552128 2546931148 4852369 2004035545
33100000000th iteration: 456048516 1119621684 136480641 1095169449
33200000000th iteration: 1124530008 1934281716 2110179825 108794481
33300000000th iteration: 103652020 449511748 1024013401 986672161
33400000000th iteration: 1752462496 2297219404 36807169 2724325921
33500000000th iteration: 1050786312 205716900 2294727681 2187136497
33600000000th iteration: 826407160 148569364 1764872737 1679224609
33700000000th iteration: 342237996 208512288 7818417 297393249
33800000000th iteration: 1062796728 1567469136 8650041 1322912865
33900000000th iteration: 2852076436 914891032 2867562505 535991137
34000000000th iteration: 2028946240 1813246168 1307516113 27977089
34100000000th iteration: 1156365244 108725680 2145011713 2004487873
34200000000th iteration: 37805296 2112616216 1576136353 2477398105
34300000000th iteration: 3772191504 851000220 3773472417 1039333689
34400000000th iteration: 1235545272 1327381200 723635049 63687249
34500000000th iteration: 2185600 91404364 127954393 143068633
34600000000th iteration: 2556444 665110380 461860233 533365833
34700000000th iteration: 787662532 805399108 578202913 342817
34800000000th iteration: 55918768 1015574104 1548112825 1746396193
34900000000th iteration: 1648635268 1160177140 24049 1425279433
35000000000th iteration: 321772468 372228856 1386723337 1386221089
35100000000th iteration: 930144540 1230815184 1137 916449609
35200000000th iteration: 1175142412 220820992 377086681 1181856625
35300000000th iteration: 246449968 484081180 1428326401 1427792521
35400000000th iteration: 363683364 813390804 2294532825 2264949537
35500000000th iteration: 2152106332 784 2124046609 1555421545
35600000000th iteration: 129628084 2608430488 2455174753 1417073665
35700000000th iteration: 2041790668 1982024428 840140185 241218529
35800000000th iteration: 521646552 259584 554195193 716232921
35900000000th iteration: 1023739252 1790189380 1946857417 106388641
36000000000th iteration: 1164361576 2014444420 2146681273 106816561
36100000000th iteration: 163343932 2546393356 2751684577 1419249745
36200000000th iteration: 1811425984 835041112 186687841 1888722913
36300000000th iteration: 1906463388 956414364 161822001 2014622697
36400000000th iteration: 1119181704 1197087360 645859089 60523017
36500000000th iteration: 474935976 1013766948 85352025 965561481
36600000000th iteration: 814261848 443636820 37712553 740043969
36700000000th iteration: 212437584 45435384 455297025 474150537
36800000000th iteration: 2264914156 508258144 2267000689 627328801
36900000000th iteration: 2043750672 2240230536 1229352417 101001585
37000000000th iteration: 2301576280 2150284288 1585301641 10263721
37100000000th iteration: 357643300 330913636 184227793 21325441
37200000000th iteration: 1868063076 524595876 1865805153 411716625
37300000000th iteration: 3313327828 3262920760 449702329 1282989673
37400000000th iteration: 409320288 198363240 426013353 36960609
37500000000th iteration: 1379387148 1987615932 4106529 1697037441
37600000000th iteration: 2782884868 1118142664 2709686737 346547881
37700000000th iteration: 5216296 194124388 223358785 135697561
37800000000th iteration: 1833594048 216 2454728529 1848730257
37900000000th iteration: 1461362820 1284122088 40306281 868714881
38000000000th iteration: 213793824 1404261516 520265577 1420536633
38100000000th iteration: 3146315392 3145766152 746809921 827063545
38200000000th iteration: 808245984 1147665336 979315041 83649
38300000000th iteration: 2934610740 91026648 1715761809 2602972713
38400000000th iteration: 2853462016 3037264972 224036569 1478398993
38500000000th iteration: 2421490456 1695060628 63458641 2781106945
38600000000th iteration: 621725724 1159329456 1234472529 81507681
38700000000th iteration: 1795045540 137678248 1913485081 938196361
38800000000th iteration: 11433720 207777012 209009937 114156921
38900000000th iteration: 214355428 30057256 81603241 211341745
39000000000th iteration: 2330735248 1614471496 5346937 1995602569
39100000000th iteration: 1074896848 748131448 1803649 916925545
39200000000th iteration: 447048688 498852508 282421945 18817849
39300000000th iteration: 532584432 26543256 584763153 320244009
39400000000th iteration: 2090651332 408486340 2084530657 646645681
39500000000th iteration: 227405284 484 317747737 255541465
39600000000th iteration: 1419818448 1478819592 84558537 783392553
39700000000th iteration: 1826254312 1700264752 2340449041 140305
39800000000th iteration: 589096900 1565224 645634009 448219537
39900000000th iteration: 23869500 1551194508 1843430529 1190152353
40000000000th iteration: 613547104 848509816 619369 660428521
40100000000th iteration: 3155134732 3077558080 1263821689 396238969
40200000000th iteration: 1627376080 1703088904 2404009 1204303177
40300000000th iteration: 2117477476 100 1511698633 2025643561
40400000000th iteration: 1729851336 5212164 2485241361 2273430249
40500000000th iteration: 1162550128 58641052 1098481393 630442297
40600000000th iteration: 1412252824 2108798068 69583633 2393754865
40700000000th iteration: 2234797840 212417788 2340257689 1067696473
40800000000th iteration: 2221088644 1982670916 30516697 1431495193
40900000000th iteration: 258703608 25860000 267851073 120057009
41000000000th iteration: 6585324 2013591948 2538480681 1788272097
41100000000th iteration: 3096 452716416 430718673 587597985
41200000000th iteration: 1553014396 43018864 1754946721 1062106009
41300000000th iteration: 1847806732 2606332960 560641 2448034177
41400000000th iteration: 107915692 902973964 931025305 386355169
41500000000th iteration: 2489182336 28343560 1986242017 3002482297
41600000000th iteration: 21788464 22521436 2217409 10024681
41700000000th iteration: 517292272 56168956 914639785 991765177
41800000000th iteration: 586880004 174586248 1437001065 1407729393
41900000000th iteration: 429442948 319805416 1490463745 1493088361
42000000000th iteration: 2327867856 1628574648 56114097 2644268649
42100000000th iteration: 379229268 3094386456 1292937585 3144730521
42200000000th iteration: 1919702944 412480684 550710697 1916445505
42300000000th iteration: 977244 303665964 346543881 431916921
42400000000th iteration: 657745452 939465180 773983209 1615689
42500000000th iteration: 9679356 2500047804 2287088577 1720085913
42600000000th iteration: 57931660 92056192 81930817 1632841
42700000000th iteration: 138618036 1694810328 3080985081 2827073985
42800000000th iteration: 28023244 289333984 513721777 534030865
42900000000th iteration: 1286002396 106808656 1218694369 603816769
43000000000th iteration: 1536336892 717837232 131128201 1469450065
43100000000th iteration: 235457476 2823995956 2991022873 1428183265
43200000000th iteration: 143575972 376996 106049353 151382329
43300000000th iteration: 653585788 2373057724 2374719625 535794673
43400000000th iteration: 909287400 1301154756 2577657 1071303897
43500000000th iteration: 257508376 2792013424 2761977961 1293396049
43600000000th iteration: 1763314444 2431230304 1566841 1885586401
43700000000th iteration: 2572959648 2712127980 6738369 1900185393
43800000000th iteration: 2792440492 2955289180 148574281 1603893337
43900000000th iteration: 49452004 1261090468 1133085361 709106017
44000000000th iteration: 1908986208 987209208 1814558217 117220137
44100000000th iteration: 554248224 45128184 923332785 1006951137
44200000000th iteration: 1019043052 761964640 1529137 1082595961
44300000000th iteration: 1951861012 1648603108 26959993 1253105857
44400000000th iteration: 1778479852 2491867996 59925265 2886438577
44500000000th iteration: 3251098456 524605204 1142627929 3220198201
44600000000th iteration: 1309206256 635680936 1231109089 97442209
44700000000th iteration: 1515361744 21585052 2291254585 1904958889
44800000000th iteration: 1064667568 487524136 99899017 1045233529
44900000000th iteration: 1115225232 765636156 5525457 902284665
45000000000th iteration: 1240777132 1555553932 896593 1111815913
45100000000th iteration: 2501771200 1568019784 44489137 2149635049
45200000000th iteration: 322563636 246036180 81 238275873
45300000000th iteration: 1554632632 842642260 1489944097 80812321
45400000000th iteration: 2135410144 2166309352 326831401 790549153
45500000000th iteration: 85507024 2577839356 2925082369 1724328841
45600000000th iteration: 1681718616 1827393264 9027369 1250233761
45700000000th iteration: 85886284 1004187052 1061775505 502685689
45800000000th iteration: 2153964736 2182248904 326071009 801735961
45900000000th iteration: 1526908012 1518978304 487918033 284862601
46000000000th iteration: 1166888856 474923604 1142259729 142620321
46100000000th iteration: 2073582120 761979504 2044956273 309381393
46200000000th iteration: 25408936 1502624608 1697183881 1084570705
46300000000th iteration: 202842424 393271060 373147753 24301873
46400000000th iteration: 2469850468 501312100 741418441 2462045161
46500000000th iteration: 1411976752 1789523932 3591025 1269991201
46600000000th iteration: 50205880 1775883988 1052982121 1570748881
46700000000th iteration: 670291356 1447240656 1509960729 147649569
46800000000th iteration: 274770220 2675347036 2578201321 1167321193
46900000000th iteration: 51441352 2065207972 1457661193 2376317353
47000000000th iteration: 196328152 991120564 2106736873 2142594961
47100000000th iteration: 1092 1858717704 1319777169 1528359465
47200000000th iteration: 1482765952 144089416 2635387465 2737843777
47300000000th iteration: 699830764 968778076 3315400513 3322672897
47400000000th iteration: 4276620 2136861888 2589736281 1813387281
47500000000th iteration: 1490630140 1788238096 1265192233 1
47600000000th iteration: 335450916 2852842980 1231383537 2945578257
47700000000th iteration: 91934920 257770372 40429129 254299249
47800000000th iteration: 1521583648 1809808108 22964737 1170430537
47900000000th iteration: 2543231532 2536897440 387694689 930864369
48000000000th iteration: 281971600 126921916 273997537 27185257
48100000000th iteration: 402349564 2196284752 2182260049 710405305
48200000000th iteration: 395864740 396936328 125006329 75747793
48300000000th iteration: 766779384 598135476 914758161 10074369
48400000000th iteration: 2349175492 795653236 2341372657 404253625
48500000000th iteration: 17569764 2032822548 2448481665 1644684633
48600000000th iteration: 23351556 1925720904 2387514369 2883895161
48700000000th iteration: 1233103672 934455760 1458796321 20668057
48800000000th iteration: 1406613912 54303540 1262541609 793133169
48900000000th iteration: 103768396 1886895904 1044743353 1920062497
49000000000th iteration: 2420038152 161261988 1311327393 2560828497
49100000000th iteration: 3316024048 1058300188 627652129 3334572745
49200000000th iteration: 457363036 1105049068 140567329 1135307617
49300000000th iteration: 124 1403208112 997271761 1322913553
49400000000th iteration: 1362615888 1321478076 152608521 574519785
49500000000th iteration: 500499736 486878548 270527089 27159577
49600000000th iteration: 2942375404 2952050944 912961441 576659521
49700000000th iteration: 475971408 861371868 786424329 37652985
49800000000th iteration: 768026544 2757905436 2758754361 614690769
